,,,,,,,,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,,,,,,Source of the data,,What would the data help us answer,,,Assumptions,,,Limitations
,,,,,,,,,open-text,open-text,single-select,single-select,single-select,single-select,single-select,,,,,,,,"Samples pulled from panel made up of CBO's, nonprofits and org leaders",,The data would/will help us answer the question of whether corporate/big philanthropy officers have confidence in their giving systems.,,,They understand pledges,,,Reluctance to answer on record'
Session ID,Publish ID,Collector,Language,Start Date (America/Denver),End Date (America/Denver),Status,Progress,Duration (seconds),Please state your exact title.,What is your industry sector?,Do you believe that the current funding processes of corporate and philanthropic giving officers are efficient?,Do you think the current process for distributing funding earmarked for social justice topics is transparent and reliable?,Do you believe that the current funding and reporting processes of corporate and philanthropic giving reflect the experiences of the communities they hope to reach?,Would you be interested in establishing more transparent relationships with community groups and finance organizations?,"To ensure engagement, please select 'no' as your answer selection.",aid,score,,,,,,,,,,,The understand community impact,,,Bias in answers (pro-org)
451fd04e-3246-4bff-bb5f-3f95d1443749,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-09 14:21:55,2023-11-09 14:22:19,complete,100,24,Librarian,Education,Not Sure,Not Sure,No,Yes,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2292672629.0.Z.-,,,,,,,,,,,,They are interested in improvement,,,
d9466ec0-520b-405c-bef6-b67b1908af9e,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-09 14:23:42,2023-11-09 14:24:32,complete,100,50,director,non profit,Not Sure,Not Sure,Yes,Yes,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2292673514.0.Z.-,,,,,,,,,,,,Engagement (has check question),,,
cab83fa9-429a-4cab-92cc-d294ecc1b4b6,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-09 14:25:05,2023-11-09 14:25:35,complete,100,30,HR Specialist,Non profit mental health,Yes,Yes,Yes,No,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2292674993.0.Z.-,,,,,,,,,,,,,,,
ebdcf7ae-3eb6-4e2c-908c-5c14daac4575,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-09 15:03:06,2023-11-09 15:03:56,complete,100,50,Director of Special Events & Projects,Hospitality,Yes,No,No,Yes,No,L.0970d05b-2757-42d3-86d8-753bb3e6685d.654d56ba-c041-8581-ec99-a69116ddb476.0.Z.44159607,,,,,,,,,,,,,,,
0dab20ee-c443-418a-8b1d-f141c687794d,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-09 16:10:16,2023-11-09 16:10:34,complete,100,18,Consultant,Education,No,No,No,Yes,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2292773685.0.Z.-,,,,,,,,,,,,,,,
a4858717-29b0-4db2-9ac5-5732fb7cb0d1,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-09 16:24:58,2023-11-09 16:25:33,complete,100,35,Director of donations,Healthcare,No,No,No,Yes,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2292785353.0.Z.-,,,,,,,,,,,,,,,
2ef7bdc5-c42e-4df6-b766-b40fb9474dea,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-09 19:17:31,2023-11-09 19:18:06,complete,100,35,Teacher,Education,No,Not Sure,Yes,Not Sure,No,L.0970d05b-2757-42d3-86d8-753bb3e6685d.654d926c-f829-c9f2-7985-51524e8a4160.0.Z.44165653,,,,,,,,,,,,,,,
36dfafe6-16fb-45a1-92d8-9e55aa469d8e,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-09 21:03:19,2023-11-09 21:03:56,complete,100,37,Nurse,Healthcare,Yes,Yes,Yes,Yes,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2292994403.0.Z.-,,,,,,,,,,,,,,,
3503ea76-f260-4e56-aa37-955d8ee8208d,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-10 02:14:57,2023-11-10 02:15:37,complete,100,40,founder and ED,non profit,Not Sure,Yes,Not Sure,Not Sure,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2293162471.0.Z.-,,,,,,,,,,,,,,,
8423f164-a3ed-4933-9101-129d38f246ee,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-10 05:49:12,2023-11-10 05:50:04,complete,100,52,Director,Legal,Not Sure,Not Sure,No,Yes,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2293313681.0.Z.-,,,,,,,,,,,,,,,
a7386978-f5d2-4308-b8ae-97f0851f659c,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-10 06:02:58,2023-11-10 06:03:24,complete,100,26,CIO,education,Yes,No,No,Yes,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2293329766.0.Z.-,,,,,,,,,,,,,,,
3e61f00a-edc2-4964-a119-06c5a07863f3,7b429e21-151d-496a-9653-45985050cf54,Audience Panel,English,2023-11-10 06:46:46,2023-11-10 06:47:20,complete,100,34,Media Specialist,Education,Yes,No,No,Yes,No,P.0970d05b-2757-42d3-86d8-753bb3e6685d.2293373378.0.Z.-,,,,,,,,,,,,,,,
