session_id,duration_sec,q1,q2,q3,q4,q5,q6,q7
451fd04e-3246-4bff-bb5f-3f95d1443749,24,Librarian,Education,Not Sure,Not Sure,No,Yes,No
d9466ec0-520b-405c-bef6-b67b1908af9e,50,director,non profit,Not Sure,Not Sure,Yes,Yes,No
cab83fa9-429a-4cab-92cc-d294ecc1b4b6,30,HR Specialist,Non profit mental health,Yes,Yes,Yes,No,No
ebdcf7ae-3eb6-4e2c-908c-5c14daac4575,50,Director of Special Events & Projects,Hospitality,Yes,No,No,Yes,No
0dab20ee-c443-418a-8b1d-f141c687794d,18,Consultant,Education,No,No,No,Yes,No
a4858717-29b0-4db2-9ac5-5732fb7cb0d1,35,Director of donations,Healthcare,No,No,No,Yes,No
2ef7bdc5-c42e-4df6-b766-b40fb9474dea,35,Teacher,Education,No,Not Sure,Yes,Not Sure,No
36dfafe6-16fb-45a1-92d8-9e55aa469d8e,37,Nurse,Healthcare,Yes,Yes,Yes,Yes,No
3503ea76-f260-4e56-aa37-955d8ee8208d,40,founder and ED,non profit,Not Sure,Yes,Not Sure,Not Sure,No
8423f164-a3ed-4933-9101-129d38f246ee,52,Director,Legal,Not Sure,Not Sure,No,Yes,No
a7386978-f5d2-4308-b8ae-97f0851f659c,26,CIO,education,Yes,No,No,Yes,No
3e61f00a-edc2-4964-a119-06c5a07863f3,34,Media Specialist,Education,Yes,No,No,Yes,No
